symbol	ensembl	entrez
LINC00567	ENSG00000259831	NA
	ENSG00000212293	NA
RPL37P4	ENSG00000230198	NA
	ENSG00000270008	NA
ANKRD10-IT1	ENSG00000229152	NA
	ENSG00000271486	NA
	ENSG00000229336	NA
ATP8A2P2	ENSG00000229800	NA
PARP1P1	ENSG00000227105	NA
C1QBPP	ENSG00000215353	NA
	ENSG00000233480	NA
LINC00431	ENSG00000225760	NA
	ENSG00000233236	NA
LINC00368	ENSG00000225870	101927802
RNU6-772P	ENSG00000251851	NA
RN7SKP147	ENSG00000252963	NA
ARHGEF7-AS2	ENSG00000235875	NA
RNY1P4	ENSG00000207325	NA
FDPSP6	ENSG00000233676	NA
LINC00423	ENSG00000226968	100874167
ARHGEF7-IT1	ENSG00000233644	NA
KRT18P2	ENSG00000234439	NA
ARHGEF7-AS1	ENSG00000227352	NA
TOMM22P3	ENSG00000227604	NA
RPS3AP1	ENSG00000233206	NA
	ENSG00000221677	NA
	ENSG00000215881	NA
STARD13-IT1	ENSG00000230300	NA
FKBP10	ENSG00000261258	60681
LINC00354	ENSG00000226903	101928616
LINC00320	ENSG00000224924	387486
	ENSG00000264989	NA
	ENSG00000200072	NA
	ENSG00000260385	NA
LINC00404	ENSG00000229520	NA
PPIAP1	ENSG00000215351	NA
LINC00403	ENSG00000224243	100505996
	ENSG00000226771	NA
LINC01070	ENSG00000260102	101928698
	ENSG00000221210	NA
	ENSG00000234730	NA
LINC01043	ENSG00000260343	101928752
	ENSG00000198434	NA
LINC01044	ENSG00000223626	NA
	ENSG00000237527	NA
	ENSG00000264726	NA
ATP11A-AS1	ENSG00000232684	100874205
LINC00317	ENSG00000238265	378828
	ENSG00000234603	NA
STARD13-AS	ENSG00000236581	100874241
	ENSG00000267868	NA
IGHV1OR15-9	ENSG00000188403	NA
MCF2L-AS1	ENSG00000235280	NA
	ENSG00000269356	NA
	ENSG00000233997	101927821
	ENSG00000269376	NA
F10-AS1	ENSG00000231882	NA
KARSP2	ENSG00000230371	NA
IGHV3OR15-7	ENSG00000259490	NA
	ENSG00000269125	NA
	ENSG00000227075	NA
LDHBP1	ENSG00000232662	NA
IGHD5OR15-5A	ENSG00000270961	NA
GRTP1-AS1	ENSG00000225083	101930262
GRTP1-AS1	ENSG00000225083	101930007
	ENSG00000233215	101927843
DCUN1D2-AS	ENSG00000233613	NA
IGHD4OR15-4A	ENSG00000271317	NA
RNU1-16P	ENSG00000202347	NA
LINC00552	ENSG00000227208	100130386
IGHD3OR15-3A	ENSG00000270783	NA
GAS6-AS1	ENSG00000233695	NA
IGHD2OR15-2A	ENSG00000271197	NA
GAS6-AS2	ENSG00000272695	100506394
LINC00308	ENSG00000184856	54143
	ENSG00000227911	NA
	ENSG00000237699	NA
IGHD1OR15-1A	ENSG00000271336	NA
	ENSG00000264288	NA
RN7SL247P	ENSG00000265259	NA
NT5C3B	ENSG00000260753	115024
	ENSG00000234340	NA
	ENSG00000230490	NA
MIR320C2	ENSG00000212051	100302195
LINC00454	ENSG00000226921	100874178
	ENSG00000264365	NA
	ENSG00000273321	NA
	ENSG00000234535	NA
	ENSG00000232986	NA
	ENSG00000199636	NA
	ENSG00000265094	NA
RNU5A-4P	ENSG00000252397	NA
	ENSG00000263663	NA
VDAC1P12	ENSG00000227254	NA
LINC00452	ENSG00000229373	643365
	ENSG00000199196	NA
GOLGA6L6	ENSG00000215405	727832
	ENSG00000271850	NA
LINC00457	ENSG00000225179	100874179
	ENSG00000231136	NA
LINC00565	ENSG00000260910	100861555
	ENSG00000271901	NA
RNU4-45P	ENSG00000202339	NA
RASA3-IT1	ENSG00000232487	NA
	ENSG00000226043	NA
GAMTP2	ENSG00000231910	NA
MIR548AR	ENSG00000264539	100847035
	ENSG00000261728	NA
MAPK6PS2	ENSG00000223488	NA
MIR4502	ENSG00000265450	100616227
SCAND3P1	ENSG00000232795	NA
CLCP2	ENSG00000226158	NA
PHBP13	ENSG00000234835	NA
LINC01054	ENSG00000229723	NA
	ENSG00000268343	NA
	ENSG00000221519	NA
LINC00445	ENSG00000236036	100507114
RNU6-71P	ENSG00000207203	100873774
IGHV1OR21-1	ENSG00000169861	NA
	ENSG00000266047	NA
HIST1H2APS6	ENSG00000223383	NA
	ENSG00000222602	NA
GAPDHP34	ENSG00000235306	NA
TCEAL4P1	ENSG00000223543	NA
ARL2BPP3	ENSG00000215486	NA
KLHL10	ENSG00000261631	317719
POTEB2	ENSG00000230031	100996331
POTEB2	ENSG00000230031	100287399
NDE1P2	ENSG00000271337	NA
SMAD9-AS1	ENSG00000236711	NA
LAMTOR3P1	ENSG00000228825	NA
RPL29P28	ENSG00000232378	NA
EIF4A1P5	ENSG00000226161	NA
	ENSG00000221100	NA
RN7SKP1	ENSG00000202395	NA
RPS12P24	ENSG00000230283	NA
	ENSG00000234034	NA
LINC01048	ENSG00000230390	NA
RN7SL609P	ENSG00000263796	NA
RNA5SP26	ENSG00000199276	NA
	ENSG00000225906	NA
HSPD1P9	ENSG00000228036	NA
	ENSG00000230972	NA
KLHL11	ENSG00000259896	55175
LINC00571	ENSG00000223685	100874188
ZNF299P	ENSG00000219368	NA
LINC00437	ENSG00000236354	101929121
MSANTD2P1	ENSG00000231058	NA
LINC00366	ENSG00000229437	NA
RNU2-55P	ENSG00000223078	NA
PRDX3P3	ENSG00000234701	NA
	ENSG00000228592	266917
RNU6-56P	ENSG00000252795	100873764
	ENSG00000212049	NA
IGHD5OR15-5B	ENSG00000270824	NA
FREM2-AS1	ENSG00000225350	NA
PLA2G12AP2	ENSG00000225221	NA
IGHD4OR15-4B	ENSG00000270451	NA
ANKRD26P2	ENSG00000235550	NA
EEF1A1P1	ENSG00000223822	NA
IGHD3OR15-3B	ENSG00000271255	NA
NXT1P1	ENSG00000214823	NA
IGHD2OR15-2B	ENSG00000271305	NA
	ENSG00000238408	NA
	ENSG00000216014	NA
MIR4305	ENSG00000264171	100422940
TUBAP	ENSG00000237569	NA
RNY4P14	ENSG00000200526	NA
CDKN2AIPNLP3	ENSG00000224351	NA
SECISBP2L	ENSG00000138593	9728
AZU1P1	ENSG00000270444	NA
	ENSG00000212553	NA
IGHD1OR15-1B	ENSG00000270185	NA
LINC00332	ENSG00000230710	100874127
RPL17P51	ENSG00000271429	NA
RNY3P9	ENSG00000207458	NA
	ENSG00000268531	NA
	ENSG00000230058	NA
RN7SKP2	ENSG00000252812	NA
LINC00598	ENSG00000215483	646982
RLIMP1	ENSG00000229456	NA
MIR320D1	ENSG00000211491	100313896
MIR621	ENSG00000207652	693206
TPTE2P5	ENSG00000168852	100616668
POTEB	ENSG00000233917	100996331
POTEB	ENSG00000233917	100288966
POTEB	ENSG00000233917	100287399
POTEB	ENSG00000233917	317754
TPTE	ENSG00000166157	7179
ACLY	ENSG00000260245	47
CYCSP34	ENSG00000176268	NA
SUGT1P3	ENSG00000239827	283507
RGS17P1	ENSG00000229473	NA
MIR3168	ENSG00000264226	100422878
	ENSG00000199698	NA
RN7SL597P	ENSG00000244264	NA
	ENSG00000227716	NA
CALM2P3	ENSG00000215482	NA
	ENSG00000231986	NA
	ENSG00000238651	NA
MORF4L1P4	ENSG00000225133	NA
	ENSG00000235564	NA
RAC1P3	ENSG00000231404	NA
	ENSG00000226996	NA
	ENSG00000264695	NA
RNU6-57P	ENSG00000223280	100873765
	ENSG00000224018	NA
	ENSG00000266489	NA
TUBBP2	ENSG00000214222	NA
	ENSG00000224832	101927869
	ENSG00000266181	NA
OR7E36P	ENSG00000205240	100506759
	ENSG00000237484	NA
	ENSG00000265485	729950
OR7E155P	ENSG00000234655	NA
	ENSG00000263553	NA
RAC1P1	ENSG00000266520	NA
OR7E37P	ENSG00000215480	NA
	ENSG00000266809	NA
	ENSG00000263907	NA
	ENSG00000266573	NA
	ENSG00000263928	NA
	ENSG00000264042	NA
MIR5006	ENSG00000264190	100847026
RN7SL515P	ENSG00000241406	NA
RNU6-74P	ENSG00000206962	NA
	ENSG00000264345	NA
KARSP1	ENSG00000229696	NA
WBP2P1	ENSG00000229248	NA
RPS28P8	ENSG00000226093	NA
	ENSG00000231530	NA
	ENSG00000265552	NA
MAPK6PS3	ENSG00000237263	NA
	ENSG00000264434	NA
	ENSG00000265679	NA
RN7SL97P	ENSG00000242216	NA
CHCHD2P11	ENSG00000270809	NA
	ENSG00000264193	NA
FHP1	ENSG00000234213	NA
RPS24P18	ENSG00000243925	NA
TTC25	ENSG00000260703	83538
FABP3P2	ENSG00000233259	NA
DHFRP1	ENSG00000188985	NA
LINC01050	ENSG00000271216	NA
LINC00428	ENSG00000229546	NA
NPM1P2	ENSG00000266227	NA
ZDHHC4P1	ENSG00000238025	NA
	ENSG00000256715	NA
FAM60BP	ENSG00000263829	NA
LINC00400	ENSG00000229928	NA
RPL36P19	ENSG00000232540	NA
	ENSG00000266237	NA
ENOX1-AS2	ENSG00000238189	NA
	ENSG00000252921	NA
ENOX1-AS1	ENSG00000233821	NA
	ENSG00000264911	NA
	ENSG00000270522	NA
RNU6-1289P	ENSG00000207160	NA
	ENSG00000263862	NA
POTED	ENSG00000166351	388468
POTED	ENSG00000166351	339010
POTED	ENSG00000166351	317754
	ENSG00000252846	NA
LINC00284	ENSG00000233725	121838
CIAPIN1P	ENSG00000263846	NA
CNP	ENSG00000260283	1267
	ENSG00000269011	NA
AQP4-AS1	ENSG00000260372	147429
DGKZP1	ENSG00000179611	NA
LDLRAD4	ENSG00000168675	753
LINC00390	ENSG00000226519	NA
SMIM2-AS1	ENSG00000227258	101929212
	ENSG00000265369	728606
SMIM2-IT1	ENSG00000235285	100874377
	ENSG00000263677	NA
	ENSG00000230731	NA
	ENSG00000263382	NA
LINC01071	ENSG00000237361	400128
	ENSG00000266184	NA
	ENSG00000266549	NA
	ENSG00000225727	NA
	ENSG00000265374	NA
DNAJC7	ENSG00000262684	7266
SMARCE1P5	ENSG00000230793	NA
LIPI	ENSG00000188992	149998
	ENSG00000238932	NA
LINC00407	ENSG00000237585	NA
LINC00330	ENSG00000235097	144817
	ENSG00000223732	NA
RN7SL49P	ENSG00000265802	NA
RN7SKP3	ENSG00000223341	NA
	ENSG00000271818	NA
RNU6-69P	ENSG00000252055	100873773
	ENSG00000270381	NA
	ENSG00000221163	NA
	ENSG00000253051	NA
SNORA31	ENSG00000199477	677814
	ENSG00000273149	NA
RBM11	ENSG00000185272	54033
OR4M2	ENSG00000182974	390538
	ENSG00000226983	339622
NKIRAS2	ENSG00000260770	28511
OR4N4	ENSG00000183706	283694
TPT1-AS1	ENSG00000170919	100190939
	ENSG00000227090	NA
	ENSG00000230379	NA
IGHV1OR15-1	ENSG00000270505	NA
	ENSG00000269182	NA
IGHV4OR15-8	ENSG00000259261	642131
	ENSG00000237444	NA
	ENSG00000244278	NA
HSPA13	ENSG00000155304	6782
ZNF385C	ENSG00000260320	201181
	ENSG00000228886	NA
RCN1P2	ENSG00000214455	NA
SLC25A30-AS1	ENSG00000251015	NA
PPIAP25	ENSG00000229303	NA
RNA5SP27	ENSG00000200709	NA
GOLGA6L1	ENSG00000197414	645202
GOLGA6L1	ENSG00000197414	440243
GOLGA6L1	ENSG00000197414	283767
TIMM9P3	ENSG00000232786	NA
COX4I1P2	ENSG00000228869	NA
LINC01055	ENSG00000235366	NA
	ENSG00000232512	NA
AKR1B1P4	ENSG00000237876	NA
DHX58	ENSG00000260178	79132
	ENSG00000223870	NA
CPB2-AS1	ENSG00000235903	100509894
	ENSG00000222042	NA
RNA5SP489	ENSG00000238627	NA
RN7SL288P	ENSG00000240767	NA
	ENSG00000238483	NA
RN7SKP5	ENSG00000252854	NA
FAM206BP	ENSG00000251106	NA
LINC00563	ENSG00000261097	100861554
RNU2-6P	ENSG00000223336	NA
RNU6-68P	ENSG00000252385	100873772
COPS2	ENSG00000166200	9318
SAMSN1	ENSG00000155307	64092
PPP1R2P4	ENSG00000241353	NA
KAT2A	ENSG00000259958	2648
	ENSG00000243440	388813
	ENSG00000231817	NA
OR7E101P	ENSG00000227019	NA
COX17P1	ENSG00000205105	NA
HSPB9	ENSG00000260325	94086
FKBP1AP3	ENSG00000230243	NA
HTR2A-AS1	ENSG00000224517	100874082
GNG5P5	ENSG00000234590	NA
RN7SL700P	ENSG00000244521	NA
NAP1L4P3	ENSG00000234145	NA
RPL27AP8	ENSG00000229423	NA
RAB5C	ENSG00000261378	5878
	ENSG00000228573	NA
TUBGCP5	ENSG00000153575	114791
LINC00444	ENSG00000234689	NA
LINC00562	ENSG00000260388	NA
SUCLA2-AS1	ENSG00000227848	101929410
	ENSG00000263172	NA
MED4-AS1	ENSG00000229111	100873965
	ENSG00000262688	NA
	ENSG00000266571	NA
POLR2KP2	ENSG00000224510	NA
	ENSG00000260752	NA
LINC00441	ENSG00000231473	100862704
	ENSG00000264151	NA
PPP1R26P1	ENSG00000238086	NA
PCNPP5	ENSG00000177197	NA
LINC01077	ENSG00000233456	NA
NRIP1	ENSG00000180530	8204
LINC00462	ENSG00000233610	100129597
	ENSG00000264790	NA
	ENSG00000222391	NA
PSME2P2	ENSG00000225131	NA
UBA52P9	ENSG00000244329	NA
	ENSG00000265585	NA
RNU6-60P	ENSG00000201662	NA
	ENSG00000263611	NA
RAD17P2	ENSG00000223724	NA
RBM22P1	ENSG00000265097	NA
RNY3P2	ENSG00000199788	NA
COX7CP1	ENSG00000235957	NA
PA2G4P3	ENSG00000263405	NA
OGFOD1P1	ENSG00000231665	NA
	ENSG00000227279	NA
SNRPGP14	ENSG00000236577	NA
RMDN3	ENSG00000137824	55177
ARIH2P1	ENSG00000266296	NA
	ENSG00000176882	NA
PECAM1	ENSG00000261371	5175
	ENSG00000265994	NA
	ENSG00000203547	NA
	ENSG00000271238	NA
RNY4P30	ENSG00000222148	NA
CTAGE10P	ENSG00000181358	220429
RNU6-408P	ENSG00000251719	NA
	ENSG00000265730	NA
RNY4P9	ENSG00000200064	NA
	ENSG00000212085	NA
	ENSG00000264526	NA
MIR3613	ENSG00000264864	100500908
	ENSG00000266479	NA
	ENSG00000259458	NA
	ENSG00000265980	NA
	ENSG00000221731	NA
	ENSG00000264587	NA
	ENSG00000266196	NA
	ENSG00000265670	NA
RNU6-857P	ENSG00000251702	NA
	ENSG00000261521	NA
DLEU2	ENSG00000231607	406948
	ENSG00000238376	NA
	ENSG00000238660	NA
	ENSG00000265888	101927698
RPL13AP7	ENSG00000213885	NA
	ENSG00000263698	NA
LINC00158	ENSG00000185433	54072
	ENSG00000266729	101927718
	ENSG00000238314	NA
	ENSG00000229962	NA
MIR16-1	ENSG00000208006	406950
RNU6-167P	ENSG00000207019	NA
RPL18P10	ENSG00000214359	NA
MIR155HG	ENSG00000234883	406947
MIR155HG	ENSG00000234883	114614
	ENSG00000207240	NA
	ENSG00000266521	NA
ST13P4	ENSG00000232150	145165
LINC00515	ENSG00000260583	282566
	ENSG00000264859	NA
RNGTTP1	ENSG00000237731	NA
RPL34P26	ENSG00000223676	NA
FDX1P2	ENSG00000227054	NA
MILR1	ENSG00000263304	284021
RNU6-1002P	ENSG00000252379	NA
	ENSG00000221198	NA
	ENSG00000235514	NA
	ENSG00000229323	NA
	ENSG00000259985	NA
RN7SKP44	ENSG00000200472	NA
GCHFR	ENSG00000137880	2644
LRRC37A7P	ENSG00000265158	NA
	ENSG00000233783	NA
	ENSG00000263772	NA
DLEU7-AS1	ENSG00000237152	100874074
RNU6-123P	ENSG00000251972	NA
	ENSG00000263924	NA
RNA5SP28	ENSG00000200711	NA
	ENSG00000224541	NA
	ENSG00000270518	NA
	ENSG00000270879	NA
	ENSG00000273492	NA
RNU6-1050P	ENSG00000222320	NA
RNASEH2B-AS1	ENSG00000233672	100874255
	ENSG00000263823	NA
RNU6-926P	ENSG00000206802	NA
PGDP1	ENSG00000265273	NA
	ENSG00000229025	NA
	ENSG00000266105	NA
	ENSG00000232692	NA
	ENSG00000263917	NA
	ENSG00000265063	NA
	ENSG00000214917	NA
	ENSG00000265008	NA
	ENSG00000238982	NA
POLG2	ENSG00000262917	11232
	ENSG00000263393	NA
RNA5SP453	ENSG00000199373	NA
	ENSG00000265279	NA
	ENSG00000263904	NA
	ENSG00000222395	NA
	ENSG00000264982	NA
HNRNPA1P7	ENSG00000215492	NA
WBP11P1	ENSG00000260389	441818
DNAJC17	ENSG00000104129	55192
	ENSG00000221621	NA
FAM210A	ENSG00000177150	125228
	ENSG00000263688	NA
GUCY1B2	ENSG00000123201	2974
USP25	ENSG00000155313	29761
	ENSG00000197934	100996571
	ENSG00000273115	NA
	ENSG00000223563	NA
MIR4759	ENSG00000266133	100616243
GPX1P2	ENSG00000215326	NA
	ENSG00000231236	NA
	ENSG00000236332	NA
RNA5SP29	ENSG00000222920	NA
LINC00371	ENSG00000226792	647166
RPL5P31	ENSG00000214878	NA
SLMO2P2	ENSG00000271242	NA
DDX5	ENSG00000263077	100616408
DDX5	ENSG00000263077	100616387
DDX5	ENSG00000263077	1655
MIR5693	ENSG00000266072	100847003
	ENSG00000269965	NA
	ENSG00000270101	NA
ST8SIA5	ENSG00000101638	29906
INTS6-AS1	ENSG00000236778	100507398
C21orf37	ENSG00000232560	NA
MIR4752	ENSG00000265146	100616171
	ENSG00000262931	NA
RPS4XP16	ENSG00000224892	NA
RN7SL320P	ENSG00000243900	NA
SNRPGP11	ENSG00000229906	NA
MIR4703	ENSG00000266611	100616423
CEP95	ENSG00000263046	90799
RNU6-65P	ENSG00000252141	NA
RNY1P6	ENSG00000206920	NA
RN7SL413P	ENSG00000242893	NA
ATP5F1P1	ENSG00000224451	NA
	ENSG00000231856	NA
