id	gene	allTranscripts	transcript	totExons	strand	chrom	startUpIntron	endUpIntron	startUpBSE	endUpBSE	startDownBSE	endDownBSE	startDownIntron	endDownIntron	exNumUpBSE	exNumDownBSE	numOfExons	lenUpIntron	lenUpBSE	lenDownBSE	lenDownIntron	meanLengthBSEs	meanLengthIntrons	lenCircRNA
21	ANKRD12:+:chr18:9182380:9221997	ANKRD12	ENST00000262126,ENST00000383440,ENST00000400020,ENST00000540578,ENST00000546007	ENST00000262126	13	+	chr18	9136964	9182379	9182380	9182517	9221850	9221997	9221998	9254208	2	8	7	45415	137	147	32210	142	38812.5	994
22	PAX3:-:chr2:223097002:223084859	PAX3	ENST00000350526,ENST00000392069,ENST00000344493,ENST00000392070,ENST00000336840,ENST00000409551	ENST00000350526	8	-	chr2	223158885	223097003	223097002	223096797	223085073	223084859	223084858	223066910	5	7	3	61882	205	214	17948	209.5	39915	587
23	SLC8A1:-:chr2:40657444:40655613	SLC8A1	ENST00000406785,ENST00000542756,ENST00000403092,ENST00000405901,ENST00000402441,ENST00000405269	ENST00000406785	8	-	chr2	40679043	40657445	40657444	40655613	40657444	40655613	40655612	40404996	2	2	1	21598	1831	1831	250616	1831	136107	1832
24	MAN1A2:+:chr1:117944808:117957453	MAN1A2	ENST00000356554	ENST00000356554	13	+	chr1	117911108	117944807	117944808	117945063	117957335	117957453	117957454	117963190	2	4	3	33699	255	118	5736	186.5	19717.5	472
25	ENSG00000259220:+:chr15:64791492:64792365	ENSG00000259220	NA	NA	NA	+	chr15	NA	NA	64791492	NA	NA	64792365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	MAN1A2:+:chr1:117944808:117984947	MAN1A2	ENST00000356554	ENST00000356554	13	+	chr1	117911108	117944807	117944808	117945063	117984853	117984947	117984948	118003110	2	6	5	33699	255	94	18162	174.5	25930.5	648
27	ARHGAP12:-:chr10:32199491:32197100	ARHGAP12	ENST00000375250,ENST00000344936,ENST00000396144,ENST00000375245	ENST00000375250	18	-	chr10	32217610	32199492	32199491	32199453	32197854	32197100	32197099	32150587	2	3	2	18118	38	754	46512	396	32315	794
28	RHOBTB3:+:chr5:95091100:95099324	RHOBTB3	ENST00000379982	ENST00000379982	12	+	chr5	95088055	95091099	95091100	95091465	95099212	95099324	95099325	95103749	6	7	2	3044	365	112	4424	238.5	3734	479
29	VCAN:+:chr5:82832826:82838087	VCAN	ENST00000265077,ENST00000343200	ENST00000265077	15	+	chr5	82818129	82832825	82832826	82838087	82832826	82838087	82838088	82841355	8	8	1	14696	5261	5261	3267	5261	8981.5	5262
30	RERE:-:chr1:8674745:8601273	RERE	ENST00000337907,ENST00000400908,ENST00000400907,ENST00000480342	ENST00000337907	24	-	chr1	8684368	8674746	8674745	8674620	8601377	8601273	8601272	8568735	5	8	4	9622	125	104	32537	114.5	21079.5	434
31	ZNF124:-:chr1:247323115:247318868	ZNF124	NA	NA	NA	-	chr1	NA	NA	247323115	NA	NA	247318868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	FAM13B:-:chr5:137324004:137320945	FAM13B	ENST00000033079,ENST00000420893,ENST00000425075	ENST00000033079	23	-	chr5	137342678	137324005	137324004	137323963	137321078	137320946	137320945	137298159	8	10	3	18673	41	132	22786	86.5	20729.5	331
33	HMGCS1:-:chr5:43297268:43294157	HMGCS1	ENST00000325110,ENST00000433297	ENST00000325110	11	-	chr5	43298110	43297269	43297268	43297104	43294264	43294158	43294157	43293076	5	8	4	841	164	106	1081	135	961	609
34	BACH1:+:chr21:30693542:30702014	BACH1	ENST00000399921,ENST00000286800	ENST00000399921	5	+	chr21	30671920	30693541	30693542	30693835	30701808	30702014	30702015	30714719	2	4	3	21621	293	206	12704	249.5	17162.5	1836
35	RMST:+:chr12:97886239:97924637	RMST	ENST00000538559,ENST00000541282,ENST00000548886	ENST00000538559	14	+	chr12	97857068	97886238	97886239	97886384	97924433	97924637	97924638	97954314	6	10	5	29170	145	204	29676	174.5	29423	775
36	CDYL:+:chr6:4891947:4892613	CDYL	ENST00000328908,ENST00000343762,ENST00000397588,ENST00000449732	ENST00000328908	9	+	chr6	4735079	4891946	4891947	4892613	4891947	4892613	4892614	4935748	4	4	1	156867	666	666	43134	666	100000.5	667
37	RBM33:+:chr7:155465561:155473602	RBM33	ENST00000401878,ENST00000392759,ENST00000287912	ENST00000401878	18	+	chr7	155457948	155465560	155465561	155465609	155473284	155473602	155473603	155493466	3	5	3	7612	48	318	19863	183	13737.5	445
38	CRKL:+:chr22:21288067:21288532	CRKL	ENST00000354336,ENST00000411769	ENST00000354336	3	+	chr22	21272534	21288066	21288067	21288532	21288067	21288532	21288533	21303998	2	2	1	15532	465	465	15465	465	15498.5	466
39	STK39:-:chr2:168986268:168920010	STK39	ENST00000355999	ENST00000355999	18	-	chr2	168994597	168986269	168986268	168986220	168920080	168920010	168920009	168873606	9	14	6	8328	48	70	46403	59	27365.5	402
40	RANBP17:+:chr5:170610199:170632616	RANBP17	ENST00000520586	ENST00000520586	6	+	chr5	170597208	170610198	170610199	170610234	170632528	170632611	NA	NA	3	6	4	12990	35	83	NA	59	12990	333
41	CSNK1G3:+:chr5:122881111:122893258	CSNK1G3	ENST00000395412,ENST00000395411,ENST00000345990,ENST00000510842	ENST00000395412	14	+	chr5	122848265	122881110	122881111	122881535	122893189	122893258	122893259	122909086	2	4	3	32845	424	69	15827	246.5	24336	536
42	RTN4:-:chr2:55214834:55209650	RTN4	ENST00000337526,ENST00000394611,ENST00000357376,ENST00000404909,ENST00000405240,ENST00000354474,ENST00000357732,ENST00000317610,ENST00000394609,ENST00000402434,ENST00000438462	ENST00000337526	9	-	chr2	55252221	55214835	55214834	55214627	55209789	55209651	55209650	55201901	4	5	2	37386	207	138	7749	172.5	22567.5	347
43	SCLT1:-:chr4:129925031:129913322	SCLT1	ENST00000281142,ENST00000434680,ENST00000503215	ENST00000281142	21	-	chr4	129960195	129925032	129925031	129924896	129913392	129913322	129913321	129891624	6	9	4	35163	135	70	21697	102.5	28430	396
44	CPSF6:+:chr12:69644909:69656342	CPSF6	ENST00000435070,ENST00000266679,ENST00000456847,ENST00000551516	ENST00000435070	10	+	chr12	69633487	69644908	69644909	69645118	69656153	69656342	69656343	69663291	2	9	8	11421	209	189	6948	199	9184.5	1599
45	ATRNL1:+:chr10:116879949:116889297	ATRNL1	ENST00000355044,ENST00000529665,ENST00000485327,ENST00000527407,ENST00000526946	ENST00000355044	29	+	chr10	116853803	116879948	116879949	116880032	116889089	116889297	116889298	116919800	2	5	4	26145	83	208	30502	145.5	28323.5	536
46	KLHL8:-:chr4:88116842:88116476	KLHL8	ENST00000273963,ENST00000498875,ENST00000425278,ENST00000512111,ENST00000506985,ENST00000545252	ENST00000273963	10	-	chr4	88141569	88116843	88116842	88116476	88116842	88116476	88116475	88106952	2	2	1	24726	366	366	9523	366	17124.5	367
47	UBE3A:-:chr15:25657118:25650607	UBE3A	ENST00000232165,ENST00000566215	ENST00000232165	13	-	chr15	25683635	25657119	25657118	25657055	25650649	25650608	25650607	25620911	2	4	3	26516	63	41	29696	52	28106	226
48	TNFRSF21:-:chr6:47254331:47251674	TNFRSF21	ENST00000296861	ENST00000296861	6	-	chr6	47277151	47254332	47254331	47253680	47252168	47251674	47251673	47221258	2	3	2	22819	651	494	30415	572.5	26617	1147
49	PTK2:-:chr8:141762415:141749116	PTK2	ENST00000522684,ENST00000517887,ENST00000395218,ENST00000519419,ENST00000340930,ENST00000521059,ENST00000519993,ENST00000519654,ENST00000535192,ENST00000519465,ENST00000523539,ENST00000538769,ENST00000524202,ENST00000521986	ENST00000522684	32	-	chr8	141771263	141762416	141762415	141762331	141749206	141749117	141749116	141745555	17	21	5	8847	84	89	3561	86.5	6204	493
50	ATRNL1:+:chr10:117221451:117228839	ATRNL1	ENST00000355044,ENST00000423111	ENST00000355044	29	+	chr10	117185813	117221450	117221451	117221545	117228682	117228839	117228840	117278772	22	24	3	35637	94	157	49932	125.5	42784.5	332
51	RTN4:-:chr2:55255356:55252222	RTN4	ENST00000337526,ENST00000394611,ENST00000357376,ENST00000404909,ENST00000405240	ENST00000337526	9	-	chr2	55276880	55255357	55255356	55255300	55254621	55252222	55252221	55214835	2	3	2	21523	56	2399	37386	1227.5	29454.5	2457
52	HIPK2:-:chr7:139416814:139415731	HIPK2	ENST00000406875,ENST00000428878,ENST00000342645	ENST00000406875	15	-	chr7	139477403	139416815	139416814	139415731	139416814	139415731	139415730	139316472	2	2	1	60588	1083	1083	99258	1083	79923	1084
53	BMPR2:+:chr2:203329532:203332412	BMPR2	ENST00000374580,ENST00000374574	ENST00000374580	13	+	chr2	203242274	203329531	203329532	203329702	203332242	203332412	203332413	203378441	2	3	2	87257	170	170	46028	170	66642.5	342
54	RIMS2:+:chr8:105080740:105161076	RIMS2	ENST00000436393,ENST00000408894	ENST00000436393	28	+	chr8	105053587	105080739	105080740	105080840	105160835	105161076	105161077	105257143	20	23	4	27152	100	241	96066	170.5	61609	768
55	ZMYM4:+:chr1:35824526:35827390	ZMYM4	ENST00000314607,ENST00000373297	ENST00000314607	30	+	chr1	35791007	35824525	35824526	35825047	35827220	35827390	35827391	35835629	3	5	3	33518	521	170	8238	345.5	20878	755
56	LIFR:-:chr5:38530768:38523520	LIFR	ENST00000263409,ENST00000453190,ENST00000503088	ENST00000263409	20	-	chr5	38595362	38530769	38530768	38530608	38523684	38523521	38523520	38512067	2	5	4	64593	160	163	11453	161.5	38023	580
57	NFATC3:+:chr16:68155890:68160513	NFATC3	ENST00000349223,ENST00000329524,ENST00000346183,ENST00000535127,ENST00000563319,ENST00000553077,ENST00000566301,ENST00000575270,ENST00000563288,ENST00000563796,ENST00000562926,ENST00000549350,ENST00000379165,ENST00000569766,ENST00000567152,ENST00000570212	ENST00000349223	11	+	chr16	68119688	68155889	68155890	68157024	68160351	68160513	68160514	68191771	2	3	2	36201	1134	162	31257	648	33729	1298
58	RAB6A:-:chr11:73431944:73418464	RAB6A	ENST00000310653,ENST00000336083,ENST00000541973,ENST00000536566,ENST00000400470,ENST00000537446,ENST00000545625	ENST00000310653	8	-	chr11	73441809	73431945	73431944	73431891	73418558	73418465	73418464	73390766	3	6	4	9864	53	93	27698	73	18781	366
59	NUP54:-:chr4:77065626:77055328	NUP54	ENST00000264883,ENST00000342467,ENST00000507257,ENST00000514987,ENST00000458189,ENST00000512151,ENST00000515460	ENST00000264883	12	-	chr4	77069460	77065627	77065626	77065543	77055515	77055328	77055327	77053873	2	5	4	3833	83	187	1454	135	2643.5	643
60	PHF21A:-:chr11:46113774:46098304	PHF21A	ENST00000257821,ENST00000323180,ENST00000418153,ENST00000532883,ENST00000529782,ENST00000524497,ENST00000533757	ENST00000257821	18	-	chr11	46142485	46113775	46113774	46113734	46098370	46098305	46098304	46001518	2	5	4	28710	40	65	96786	52.5	62748	277
61	CORO1C:-:chr12:109048186:109046047	CORO1C	ENST00000261401,ENST00000541050,ENST00000549772,ENST00000420959,ENST00000421578,ENST00000550542,ENST00000552030	ENST00000261401	11	-	chr12	109051079	109048187	109048186	109048082	109046193	109046048	109046047	109042797	7	8	2	2892	104	145	3250	124.5	3071	251
62	RBM39:-:chr20:34313077:34302107	RBM39	ENST00000463004,ENST00000403542,ENST00000361162,ENST00000338163,ENST00000253363,ENST00000528062,ENST00000461283,ENST00000492779,ENST00000429968,ENST00000407261,ENST00000444878,ENST00000448303	ENST00000463004	16	-	chr20	34317233	34313078	34313077	34312960	34302311	34302107	34302106	34301019	6	10	5	4155	117	204	1087	160.5	2621	680
63	SLTM:-:chr15:59209198:59204762	SLTM	ENST00000380516,ENST00000492526,ENST00000536328,ENST00000557924,ENST00000249736,ENST00000557950,ENST00000558756,ENST00000559880,ENST00000560682	ENST00000380516	21	-	chr15	59224554	59209199	59209198	59209134	59204809	59204762	59204761	59193487	3	5	3	15355	64	47	11274	55.5	13314.5	311
64	ZNF608:-:chr5:124036962:124036707	ZNF608	ENST00000306315,ENST00000504926,ENST00000513986,ENST00000505686,ENST00000509799,ENST00000503896,ENST00000511308	ENST00000306315	9	-	chr5	124079776	124036963	124036962	124036707	124036962	124036707	124036706	123985391	2	2	1	42813	255	255	51315	255	47064	256
65	ATXN10:+:chr22:46125305:46136418	ATXN10	ENST00000252934,ENST00000381061	ENST00000252934	12	+	chr22	46114374	46125304	46125305	46125470	46136249	46136418	46136419	46202838	7	9	3	10930	165	169	66419	167	38674.5	445
66	MGA:+:chr15:41961026:41962156	MGA	ENST00000219905,ENST00000389936,ENST00000545763,ENST00000566586,ENST00000563576,ENST00000566718	ENST00000219905	24	+	chr15	41952724	41961025	41961026	41962156	41961026	41962156	41962157	41988272	2	2	1	8301	1130	1130	26115	1130	17208	1131
67	PTP4A2:-:chr1:32385259:32381495	PTP4A2	ENST00000344035,ENST00000356536,ENST00000468531	ENST00000344035	6	-	chr1	32403587	32385260	32385259	32384571	32381588	32381496	32381495	32377428	2	3	2	18327	688	92	4067	390	11197	782
68	ARHGAP5:+:chr14:32559708:32586493	ARHGAP5	ENST00000345122,ENST00000432921,ENST00000539826,ENST00000556611	ENST00000345122	7	+	chr14	32546642	32559707	32559708	32563592	32586346	32586493	32586494	32615468	2	3	2	13065	3884	147	28974	2015.5	21019.5	4033
69	SLC38A1:-:chr12:46637097:46622936	SLC38A1	ENST00000398637,ENST00000439706,ENST00000552197,ENST00000546893	ENST00000398637	17	-	chr12	46662308	46637098	46637097	46636983	46623051	46622936	46622935	46602911	2	5	4	25210	114	115	20024	114.5	22617	522
70	TNPO3:-:chr7:128658211:128655033	TNPO3	ENST00000393245,ENST00000482320,ENST00000471234,ENST00000265388,ENST00000471166	ENST00000393245	23	-	chr7	128694704	128658212	128658211	128658011	128655189	128655033	128655032	128645214	2	4	3	36492	200	156	9818	178	23155	432
71	KDM1A:+:chr1:23356962:23377013	KDM1A	ENST00000400181,ENST00000542151,ENST00000356634	ENST00000400181	21	+	chr1	23346441	23356961	23356962	23357127	23376880	23377013	23377014	23380253	2	4	3	10520	165	133	3239	149	6879.5	360
72	XPO1:-:chr2:61761038:61749746	XPO1	ENST00000428210,ENST00000401558,ENST00000404992,ENST00000406957,ENST00000451765,ENST00000443240	ENST00000428210	24	-	chr2	61764696	61761039	61761038	61760907	61749818	61749746	61749745	61729446	2	5	4	3657	131	72	20299	101.5	11978	1299
73	RERE:-:chr1:8617582:8555123	RERE	ENST00000337907,ENST00000400908,ENST00000400907,ENST00000480342	ENST00000337907	24	-	chr1	8674619	8617583	8617582	8617477	8555222	8555123	8555122	8526084	6	11	6	57036	105	99	29038	102	43037	582
74	PHKB:+:chr16:47531310:47549512	PHKB	ENST00000455779,ENST00000299167,ENST00000323584,ENST00000566044,ENST00000567402,ENST00000566037	ENST00000455779	32	+	chr16	47497905	47531309	47531310	47531399	47549432	47549512	47549513	47581343	3	7	5	33404	89	80	31830	84.5	32617	518
75	TET1:+:chr10:70404455:70406762	TET1	ENST00000373644	ENST00000373644	12	+	chr10	70360792	70404454	70404455	70406762	70404455	70406762	70406763	70411602	4	4	1	43662	2307	2307	4839	2307	24250.5	2308
76	SCMH1:-:chr1:41541123:41536267	SCMH1	ENST00000402904,ENST00000372596,ENST00000397174,ENST00000326197,ENST00000372597,ENST00000372595,ENST00000397171,ENST00000361705,ENST00000337495,ENST00000361191,ENST00000456518	ENST00000402904	16	-	chr1	41578954	41541124	41541123	41540891	41536393	41536267	41536266	41514563	9	10	2	37830	232	126	21703	179	29766.5	360
77	TET2:+:chr4:106155054:106158508	TET2	ENST00000513237,ENST00000540549,ENST00000545826,ENST00000380013,ENST00000265149,ENST00000413648	ENST00000513237	11	+	chr4	106111644	106155053	106155054	106158508	106155054	106158508	106158509	106162495	3	3	1	43409	3454	3454	3986	3454	23697.5	3455
78	UBAP2:-:chr9:33963789:33953282	UBAP2	ENST00000379238,ENST00000360802,ENST00000449054,ENST00000379239,ENST00000418786,ENST00000412543,ENST00000462799	ENST00000379238	29	-	chr9	33971648	33963790	33963789	33963724	33953472	33953283	33953282	33948586	9	12	4	7858	65	189	4696	127	6277	377
79	SLAIN1:+:chr13:78293667:78327493	SLAIN1	ENST00000466548,ENST00000418532,ENST00000488699	ENST00000466548	8	+	chr13	78272675	78293666	78293667	78293806	78327338	78327493	78327494	78334962	3	6	4	20991	139	155	7468	147	14229.5	788
80	BPTF:+:chr17:65941525:65972074	BPTF	ENST00000321892,ENST00000335221,ENST00000306378,ENST00000424123,ENST00000342579	ENST00000321892	30	+	chr17	65940489	65941524	65941525	65942441	65971888	65972074	65972075	65978367	23	29	7	1035	916	186	6292	551	3663.5	2026
81	SLAIN2:+:chr4:48371866:48385801	SLAIN2	ENST00000264313	ENST00000264313	8	+	chr4	48344146	48371865	48371866	48372014	48385664	48385801	48385802	48422141	2	6	5	27719	148	137	36339	142.5	32029	971
82	PCMTD1:-:chr8:52773806:52773405	PCMTD1	ENST00000360540,ENST00000522514	ENST00000360540	7	-	chr8	52782807	52773807	52773806	52773405	52773806	52773405	52773404	52758324	3	3	1	9000	401	401	15080	401	12040	402
83	PHIP:-:chr6:79770535:79752560	PHIP	ENST00000275034	ENST00000275034	40	-	chr6	79787164	79770536	79770535	79770385	79752720	79752560	79752559	79735882	5	7	3	16628	150	160	16677	155	16652.5	411
84	STX6:-:chr1:180962561:180953812	STX6	ENST00000258301,ENST00000542060	ENST00000258301	8	-	chr1	180971741	180962562	180962561	180962499	180953907	180953813	180953812	180945783	4	7	4	9179	62	94	8029	78	8604	391
85	ZBTB44:-:chr11:130131824:130130750	ZBTB44	ENST00000525842,ENST00000397753,ENST00000445008,ENST00000357899,ENST00000529348	ENST00000525842	6	-	chr11	130184269	130131825	130131824	130130751	130131824	130130751	130130750	130109792	2	2	1	52444	1073	1073	20958	1073	36701	1074
86	ATP5C1:+:chr10:7839010:7844817	ATP5C1	ENST00000356708,ENST00000493053,ENST00000335698	ENST00000356708	10	+	chr10	7838119	7839009	7839010	7839141	7844721	7844817	7844818	7848936	3	8	6	890	131	96	4118	113.5	2504	799
87	SHOC2:+:chr10:112723883:112745523	SHOC2	ENST00000369452	ENST00000369452	9	+	chr10	112679416	112723882	112723883	112724819	112745386	112745523	112745524	112760172	2	3	2	44466	936	137	14648	536.5	29557	1075
88	METTL3:-:chr14:21972024:21971316	METTL3	ENST00000543235,ENST00000537163,ENST00000298717,ENST00000536201,ENST00000544248,ENST00000542054,ENST00000538267	ENST00000543235	9	-	chr14	21979265	21972025	21972024	21971807	21971720	21971316	21971315	21969967	2	3	2	7240	217	404	1348	310.5	4294	623
89	ZNF292:+:chr6:87925621:87928449	ZNF292	ENST00000369577,ENST00000339907,ENST00000369578,ENST00000524067,ENST00000485016	ENST00000369577	8	+	chr6	87865478	87925620	87925621	87925775	87928314	87928449	87928450	87943042	2	4	3	60142	154	135	14592	144.5	37367	370
90	PTPRA:+:chr20:2944918:2945848	PTPRA	ENST00000216877,ENST00000380393,ENST00000358719,ENST00000399903,ENST00000318266,ENST00000356147,ENST00000425918,ENST00000455631,ENST00000430705,ENST00000431048	ENST00000216877	23	+	chr20	2928671	2944917	2944918	2944996	2945507	2945848	2945849	2967410	4	5	2	16246	78	341	21561	209.5	18903.5	421
91	GREB1L:+:chr18:18945988:18983955	GREB1L	ENST00000580732,ENST00000424526,ENST00000400483,ENST00000269218,ENST00000584446,ENST00000431264	ENST00000580732	33	+	chr18	18943822	18945987	18945988	18946097	18983833	18983955	18983956	19019481	2	7	6	2165	109	122	35525	115.5	18845	945
92	MPP6:+:chr7:24663285:24708279	MPP6	ENST00000222644,ENST00000396475	ENST00000222644	12	+	chr7	24613213	24663284	24663285	24663403	24708118	24708279	24708280	24718749	2	9	8	50071	118	161	10469	139.5	30270	1116
93	ZCCHC11:-:chr1:52975384:52959283	ZCCHC11	ENST00000371544,ENST00000257177,ENST00000371541,ENST00000528642,ENST00000484723,ENST00000473856	ENST00000371544	30	-	chr1	52981562	52975385	52975384	52975268	52959334	52959283	52959282	52956474	4	7	4	6177	116	51	2808	83.5	4492.5	436
94	NTRK2:+:chr9:87317074:87325706	NTRK2	ENST00000304053,ENST00000376208,ENST00000395882,ENST00000359847,ENST00000376214,ENST00000376213,ENST00000277120,ENST00000323115,ENST00000395866	ENST00000304053	15	+	chr9	87285876	87317073	87317074	87317148	87325552	87325706	87325707	87338487	3	6	4	31197	74	154	12780	114	21988.5	371
95	MED13L:-:chr12:116675510:116668338	MED13L	NA	NA	NA	-	chr12	NA	NA	116675510	NA	NA	116668338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
96	CCDC126:+:chr7:23650790:23651172	CCDC126	ENST00000307471,ENST00000409765,ENST00000410069,ENST00000448353,ENST00000472407	ENST00000307471	4	+	chr7	23637671	23650789	23650790	23651172	23650790	23651172	23651173	23682549	3	3	1	13118	382	382	31376	382	22247	383
97	PICALM:-:chr11:85742653:85707869	PICALM	ENST00000526033,ENST00000532317,ENST00000393346,ENST00000528398,ENST00000356360	ENST00000526033	20	-	chr11	85779692	85742654	85742653	85742511	85707972	85707869	85707868	85701422	2	12	11	37038	142	103	6446	122.5	21742	1128
98	FUT8:+:chr14:66028055:66028484	FUT8	ENST00000360689,ENST00000394586,ENST00000394585,ENST00000342677	ENST00000360689	11	+	chr14	65922437	66028054	66028055	66028484	66028055	66028484	66028485	66082695	3	3	1	105617	429	429	54210	429	79913.5	430
99	HOMER1:-:chr5:78752841:78734832	HOMER1	ENST00000334082,ENST00000508576	ENST00000334082	9	-	chr5	78808592	78752842	78752841	78752685	78734972	78734833	78734832	78697879	2	5	4	55750	156	139	36953	147.5	46351.5	522
100	QSER1:+:chr11:32948703:32956981	QSER1	ENST00000399302,ENST00000527788	ENST00000399302	13	+	chr11	32914881	32948702	32948703	32948815	32953289	32956981	32956982	32975402	2	4	3	33821	112	3692	18420	1902	26120.5	3968
101	HPS5:-:chr11:18314523:18312989	HPS5	ENST00000396253,ENST00000349215,ENST00000438420	ENST00000396253	22	-	chr11	18316566	18314524	18314523	18314446	18313566	18312989	18312988	18309561	14	15	2	2042	77	577	3427	327	2734.5	656
102	SOBP:+:chr6:107824861:107827631	SOBP	ENST00000317357,ENST00000477448	ENST00000317357	7	+	chr6	107811917	107824860	107824861	107824999	107827446	107827631	107827632	107854662	2	3	2	12943	138	185	27030	161.5	19986.5	325
